country,degree_centrality,betweenness,pagerank,hub_score,airport_count,outgoing_routes,incoming_routes,total_routes,continent,rank_routes,rank_betweenness,hidden_gem_score
France,1.0134,0.107,0.0323,1.1527,217,1443,1439,2882,Europe,5.0,3.0,2.0
United Kingdom,0.8839,0.046,0.0489,0.9788,167,2354,2328,4682,Europe,2.0,11.0,-9.0
Germany,0.875,0.0579,0.0426,0.9755,249,2140,2124,4264,Europe,3.0,5.0,-2.0
United States,0.8214,0.0475,0.0644,0.9333,1512,2503,2498,5001,North America,1.0,10.0,-9.0
Turkey,0.8259,0.0397,0.0153,0.8809,76,670,679,1349,Europe,11.0,13.0,-2.0
United Arab Emirates,0.808,0.0341,0.0194,0.8615,17,739,729,1468,Middle East,9.0,16.0,-7.0
Netherlands,0.7277,0.0403,0.0127,0.7807,26,566,562,1128,Europe,14.0,12.0,2.0
Italy,0.7009,0.0189,0.0273,0.7471,83,1350,1354,2704,Europe,6.0,29.0,-23.0
Spain,0.6518,0.0515,0.0386,0.7419,64,1951,1954,3905,Europe,4.0,8.0,-4.0
Canada,0.567,0.1156,0.0171,0.6997,430,682,691,1373,North America,10.0,2.0,8.0
Qatar,0.5536,0.1157,0.0052,0.6745,3,189,188,377,Middle East,38.5,1.0,37.5
Russia,0.625,0.0138,0.0201,0.6589,264,875,879,1754,Europe,8.0,40.5,-32.5
China,0.558,0.0056,0.0276,0.5912,241,1192,1192,2384,Asia,7.0,88.5,-81.5
Switzerland,0.5402,0.0203,0.009,0.5695,43,419,416,835,Europe,19.0,25.0,-6.0
Austria,0.5223,0.0188,0.0079,0.549,20,373,373,746,Europe,25.0,30.0,-5.0
Belgium,0.5179,0.0055,0.0103,0.5337,24,411,408,819,Europe,21.0,90.5,-69.5
Thailand,0.4911,0.0148,0.0104,0.5163,50,403,402,805,Asia,23.0,38.0,-15.0
Morocco,0.4286,0.0695,0.0078,0.5059,22,288,287,575,Africa,33.0,4.0,29.0
Ethiopia,0.4196,0.0528,0.0049,0.4773,29,95,98,193,Africa,70.0,6.0,64.0
India,0.4375,0.0071,0.012,0.4566,148,449,446,895,Asia,17.0,71.0,-54.0
South Korea,0.3929,0.0481,0.0121,0.4531,29,505,505,1010,Asia,15.0,9.0,6.0
Denmark,0.4107,0.0172,0.0066,0.4345,31,286,286,572,Europe,34.0,33.5,0.5
Kenya,0.3973,0.0268,0.0078,0.4319,35,133,132,265,Africa,52.0,21.0,31.0
Egypt,0.4107,0.0136,0.0069,0.4312,24,266,264,530,Africa,35.0,42.0,-7.0
South Africa,0.3795,0.0257,0.0091,0.4143,99,149,149,298,Africa,50.0,22.0,28.0
Hong Kong,0.375,0.0269,0.0089,0.4108,3,354,354,708,Asia,26.0,20.0,6.0
Saudi Arabia,0.3839,0.015,0.0108,0.4097,45,397,409,806,Middle East,22.0,37.0,-15.0
Singapore,0.3571,0.0228,0.0111,0.391,6,408,412,820,Asia,20.0,23.0,-3.0
Greece,0.375,0.0015,0.0113,0.3878,55,552,579,1131,Europe,13.0,134.5,-121.5
Japan,0.3571,0.0103,0.0161,0.3835,123,658,663,1321,Asia,12.0,58.0,-46.0
Sweden,0.3705,0.0032,0.0067,0.3804,77,307,309,616,Europe,30.0,110.0,-80.0
Israel,0.3571,0.019,0.0033,0.3794,17,135,133,268,Middle East,51.0,28.0,23.0
Australia,0.2991,0.0526,0.0149,0.3666,334,336,320,656,Oceania,29.0,7.0,22.0
Poland,0.3571,0.001,0.007,0.3651,41,339,338,677,Europe,28.0,147.5,-119.5
Malaysia,0.3393,0.0098,0.0082,0.3573,40,307,307,614,Asia,31.0,60.5,-29.5
Finland,0.3393,0.0124,0.0039,0.3556,51,163,164,327,Europe,44.0,47.0,-3.0
Norway,0.3393,0.0089,0.0074,0.3556,63,341,341,682,Europe,27.0,63.5,-36.5
Portugal,0.3393,0.0036,0.0096,0.3525,35,429,440,869,Europe,18.0,106.5,-88.5
Czech Republic,0.3393,0.0015,0.0044,0.3452,24,188,189,377,Europe,38.5,134.5,-96.0
Brazil,0.2946,0.0306,0.0065,0.3317,264,200,197,397,South America,37.0,17.0,20.0
Ireland,0.3036,0.0132,0.0062,0.323,17,291,291,582,Other,32.0,43.5,-11.5
Ukraine,0.3036,0.0059,0.0044,0.3139,39,185,183,368,Europe,40.0,86.0,-46.0
Jordan,0.3036,0.0022,0.0032,0.309,6,110,111,221,Middle East,60.0,123.0,-63.0
Panama,0.2679,0.0351,0.0039,0.3069,13,108,108,216,Other,61.5,15.0,46.5
Hungary,0.2946,0.0098,0.0025,0.3069,16,100,99,199,Europe,68.0,60.5,7.5
Nigeria,0.2812,0.0195,0.0034,0.3041,28,64,63,127,Africa,91.0,26.0,65.0
Latvia,0.2857,0.0061,0.0026,0.2944,7,101,101,202,Other,66.0,83.0,-17.0
Tunisia,0.2723,0.0159,0.0045,0.2927,13,177,180,357,Africa,42.0,36.0,6.0
Cyprus,0.2768,0.0037,0.0036,0.2841,5,149,154,303,Other,48.0,104.0,-56.0
Lebanon,0.2679,0.0083,0.0022,0.2784,3,67,66,133,Middle East,86.0,68.0,18.0
Algeria,0.25,0.0172,0.0034,0.2706,44,130,130,260,Other,53.0,33.5,19.5
Iran,0.2589,0.0059,0.0035,0.2683,82,121,123,244,Middle East,54.0,86.0,-32.0
Belarus,0.25,0.0161,0.0018,0.2679,12,54,54,108,Other,95.0,35.0,60.0
Dominican Republic,0.2455,0.0055,0.0048,0.2558,14,159,156,315,Other,46.0,90.5,-44.5
Romania,0.25,0.0007,0.0035,0.2542,20,151,150,301,Europe,49.0,158.0,-109.0
Serbia,0.25,0.0008,0.0028,0.2536,6,106,105,211,Europe,63.0,154.5,-91.5
Mexico,0.2232,0.0114,0.0115,0.2461,84,484,478,962,North America,16.0,51.0,-35.0
Ghana,0.2054,0.0359,0.0028,0.2441,6,44,43,87,Africa,103.0,14.0,89.0
Malta,0.2366,0.0019,0.0028,0.2413,2,113,113,226,Other,59.0,126.0,-67.0
Kuwait,0.2321,0.0051,0.0035,0.2407,3,120,119,239,Middle East,56.5,96.0,-39.5
Lithuania,0.2321,0.0053,0.0022,0.2396,10,80,80,160,Other,77.0,93.5,-16.5
Oman,0.2232,0.007,0.0033,0.2335,8,108,108,216,Middle East,61.5,73.5,-12.0
Philippines,0.2143,0.012,0.0043,0.2306,71,155,154,309,Asia,47.0,50.0,-3.0
Taiwan,0.2143,0.0066,0.0089,0.2298,25,385,383,768,Asia,24.0,79.5,-55.5
Croatia,0.2232,0.0011,0.004,0.2283,14,182,183,365,Europe,41.0,144.5,-103.5
Senegal,0.2188,0.0053,0.004,0.2281,11,66,65,131,Africa,88.5,93.5,-5.0
Netherlands Antilles,0.2098,0.0107,0.0039,0.2244,5,87,85,172,Other,72.0,53.5,18.5
Kazakhstan,0.2143,0.0067,0.0028,0.2238,26,101,101,202,Asia,66.0,78.0,-12.0
Bulgaria,0.2143,0.0061,0.0022,0.2226,13,83,83,166,Europe,76.0,83.0,-7.0
Sri Lanka,0.2054,0.0123,0.0032,0.2209,12,101,101,202,Asia,66.0,48.5,17.5
Pakistan,0.2098,0.0044,0.0046,0.2188,54,166,168,334,Asia,43.0,99.5,-56.5
