airline,source_airport,dest_airport,source_country,dest_country
2B,GYD,NBC,Azerbaijan,Russia
2B,NBC,GYD,Russia,Azerbaijan
2J,ABJ,BOY,Cote d'Ivoire,Burkina Faso
2J,ABJ,OUA,Cote d'Ivoire,Burkina Faso
2J,ACC,OUA,Ghana,Burkina Faso
2J,BKO,ABJ,Mali,Cote d'Ivoire
2J,BKO,DKR,Mali,Senegal
2J,BKO,OUA,Mali,Burkina Faso
2J,BOY,ABJ,Burkina Faso,Cote d'Ivoire
2J,COO,LFW,Benin,Togo
2J,COO,OUA,Benin,Burkina Faso
2J,DKR,BKO,Senegal,Mali
2J,DKR,OUA,Senegal,Burkina Faso
2J,LFW,OUA,Togo,Burkina Faso
2J,NIM,OUA,Niger,Burkina Faso
2J,OUA,ABJ,Burkina Faso,Cote d'Ivoire
2J,OUA,ACC,Burkina Faso,Ghana
2J,OUA,BKO,Burkina Faso,Mali
2J,OUA,COO,Burkina Faso,Benin
2J,OUA,DKR,Burkina Faso,Senegal
2J,OUA,LFW,Burkina Faso,Togo
2J,OUA,NIM,Burkina Faso,Niger
2K,BOG,GYE,Colombia,Ecuador
2K,BOG,UIO,Colombia,Ecuador
2K,CLO,GYE,Colombia,Ecuador
2K,GYE,BOG,Ecuador,Colombia
2K,GYE,CLO,Ecuador,Colombia
2K,UIO,BOG,Ecuador,Colombia
2L,BDS,ZRH,Italy,Switzerland
2L,BOD,ZRH,France,Switzerland
2L,BRS,ZRH,United Kingdom,Switzerland
2L,GVA,LPA,Switzerland,Spain
2L,LCA,ZRH,Cyprus,Switzerland
2L,LPA,ZRH,Spain,Switzerland
2L,RMF,ZRH,Egypt,Switzerland
2L,TFS,GVA,Spain,Switzerland
2L,ZRH,BDS,Switzerland,Italy
2L,ZRH,BOD,Switzerland,France
2L,ZRH,BRS,Switzerland,United Kingdom
2L,ZRH,LCA,Switzerland,Cyprus
2L,ZRH,LPA,Switzerland,Spain
2L,ZRH,RMF,Switzerland,Egypt
2N,ARN,MHQ,Sweden,Finland
2N,ARN,POR,Sweden,Finland
2N,ARN,TRF,Sweden,Norway
2N,MHQ,ARN,Finland,Sweden
2N,OSL,VXO,Norway,Sweden
2N,POR,ARN,Finland,Sweden
2N,TRF,ARN,Norway,Sweden
2N,VXO,OSL,Sweden,Norway
2P,DWC,MNL,United Arab Emirates,Philippines
2P,MNL,DWC,Philippines,United Arab Emirates
3G,ACC,DKR,Ghana,Senegal
3G,ACC,LOS,Ghana,Nigeria
3G,ACC,ROB,Ghana,Liberia
3G,BCN,BJL,Spain,Gambia
3G,BJL,BCN,Gambia,Spain
3G,BJL,DKR,Gambia,Senegal
3G,BJL,FNA,Gambia,Sierra Leone
3G,CKY,OXB,Guinea,Guinea-Bissau
3G,DKR,ACC,Senegal,Ghana
3G,DKR,BJL,Senegal,Gambia
3G,DKR,DLA,Senegal,Cameroon
3G,DKR,FNA,Senegal,Sierra Leone
3G,DKR,LOS,Senegal,Nigeria
3G,DKR,OXB,Senegal,Guinea-Bissau
3G,DLA,DKR,Cameroon,Senegal
3G,DLA,LOS,Cameroon,Nigeria
3G,FNA,BJL,Sierra Leone,Gambia
3G,FNA,DKR,Sierra Leone,Senegal
3G,FNA,LGW,Sierra Leone,United Kingdom
3G,FNA,ROB,Sierra Leone,Liberia
3G,LGW,FNA,United Kingdom,Sierra Leone
3G,LOS,ACC,Nigeria,Ghana
3G,LOS,DKR,Nigeria,Senegal
3G,LOS,DLA,Nigeria,Cameroon
3G,LOS,ROB,Nigeria,Liberia
3G,OXB,CKY,Guinea-Bissau,Guinea
3G,OXB,DKR,Guinea-Bissau,Senegal
3G,ROB,ACC,Liberia,Ghana
3G,ROB,FNA,Liberia,Sierra Leone
3G,ROB,LOS,Liberia,Nigeria
3J,JIB,DXB,Djibouti,United Arab Emirates
3J,JIB,JED,Djibouti,Saudi Arabia
3J,JIB,MGQ,Djibouti,Somalia
3J,MGQ,NBO,Somalia,Kenya
3J,NBO,MGQ,Kenya,Somalia
3K,BKK,SIN,Thailand,Singapore
3K,DRW,SIN,Australia,Singapore
3K,HAK,SIN,China,Singapore
3K,HGH,SIN,China,Singapore
3K,HKG,SIN,Hong Kong,Singapore
3K,HKT,SIN,Thailand,Singapore
3K,KIX,MNL,Japan,Philippines
3K,KIX,TPE,Japan,Taiwan
3K,KUL,SIN,Malaysia,Singapore
3K,MNL,KIX,Philippines,Japan
3K,MNL,SIN,Philippines,Singapore
3K,PEN,SIN,Malaysia,Singapore
3K,PER,SIN,Australia,Singapore
3K,PNH,SIN,Cambodia,Singapore
3K,REP,SIN,Cambodia,Singapore
3K,RGN,SIN,Burma,Singapore
3K,SGN,SIN,Vietnam,Singapore
3K,SIN,BKK,Singapore,Thailand
3K,SIN,DRW,Singapore,Australia
3K,SIN,HAK,Singapore,China
3K,SIN,HGH,Singapore,China
3K,SIN,HKG,Singapore,Hong Kong
3K,SIN,HKT,Singapore,Thailand
3K,SIN,KUL,Singapore,Malaysia
3K,SIN,MNL,Singapore,Philippines
3K,SIN,PEN,Singapore,Malaysia
